"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2828","get started link","Firefox","2026-08-13","passed","2026-08-13","","example.spec.ts","",""
"","967","has title","Chromium","2026-08-13","passed","2026-08-13","","example.spec.ts","",""
"","7330","has title","WebKit","2026-08-13","passed","2026-08-13","","example.spec.ts","",""
"","1097","get started link","Chromium","2026-08-13","passed","2026-08-13","","example.spec.ts","",""
"","1654","User can login successfully","WebKit","2026-08-13","passed","2026-08-13","Login Feature","login.spec.ts","",""
"","8386","get started link","WebKit","2026-08-13","passed","2026-08-13","","example.spec.ts","",""
"","777","User can login successfully","Chromium","2026-08-13","passed","2026-08-13","Login Feature","login.spec.ts","",""
"","97","Validate GET users API","Firefox","2026-08-13","passed","2026-08-13","API Tests - ReqRes","api.spec.ts","",""
"","1009","User can login successfully","Firefox","2026-08-13","passed","2026-08-13","Login Feature","login.spec.ts","",""
"","2507","has title","Firefox","2026-08-13","passed","2026-08-13","","example.spec.ts","",""
"","87","Validate GET users API","WebKit","2026-08-13","passed","2026-08-13","API Tests - ReqRes","api.spec.ts","",""
"","311","Validate GET users API","Chromium","2026-08-13","passed","2026-08-13","API Tests - ReqRes","api.spec.ts","",""
